Match,Team,Position,Name,Status,Runs,Balls,M,4s,6s,SR,id
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,1,Abhishek Sharma,out,2,5,3,0,0,40.00,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,2,Travis Head,out,0,1,11,0,0,0.00,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,3,Rahul Tripathi,out,9,13,21,1,0,69.23,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,4,Aiden Markram,out,20,23,41,3,0,86.95,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,5,Nitish Kumar Reddy,out,13,10,14,1,1,130.00,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,6,Heinrich Klaasen †,out,16,17,32,1,0,94.11,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,7,Shahbaz Ahmed,out,8,7,5,0,1,114.28,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,8,Abdul Samad,out,4,4,3,0,0,100.00,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,9,Pat Cummins (c),out,24,19,28,2,1,126.31,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,10,Jaydev Unadkat,out,4,11,16,0,0,36.36,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,11,Bhuvneshwar Kumar,not_out,0,1,3,0,0,0.00,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,1,Rahmanullah Gurbaz †,out,39,32,46,5,2,121.87,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,2,Sunil Narine,out,6,2,6,0,1,300.00,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,3,Venkatesh Iyer,not_out,52,26,46,4,3,200.00,ipl_1097
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,4,Shreyas Iyer (c),not_out,6,3,6,1,0,200.00,ipl_1097
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,1,Travis Head,out,34,28,42,3,1,121.42,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,2,Abhishek Sharma,out,12,5,4,1,1,240.00,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,3,Rahul Tripathi,out,37,15,14,5,2,246.66,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,4,Aiden Markram,out,1,2,1,0,0,50.00,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,5,Heinrich Klaasen †,out,50,34,64,0,4,147.05,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,6,Nitish Kumar Reddy,out,5,10,17,0,0,50.00,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,7,Abdul Samad,out,0,1,1,0,0,0.00,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,8,Shahbaz Ahmed,out,18,18,32,0,1,100.00,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,9,Pat Cummins (c),not_out,5,5,11,1,0,100.00,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Sunrisers Hyderabad,10,Jaydev Unadkat,out,5,2,4,1,0,250.00,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,1,Yashasvi Jaiswal,out,42,21,39,4,3,200.00,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,2,Tom Kohler-Cadmore,out,10,16,20,1,0,62.50,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,3,Sanju Samson (c)†,out,10,11,22,1,0,90.90,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,4,Riyan Parag,out,6,10,12,0,0,60.00,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,5,Dhruv Jurel,not_out,56,35,52,7,2,160.00,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,6,Ravichandran Ashwin,out,0,3,2,0,0,0.00,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,7,Shimron Hetmyer,out,4,10,8,0,0,40.00,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,8,Rovman Powell,out,6,12,17,0,0,50.00,ipl_1096
Sunrisers Hyderabad Vs Rajasthan Royals,Rajasthan Royals,9,Trent Boult,not_out,0,3,11,0,0,0.00,ipl_1096
Royal Challengers Bengaluru Vs Rajasthan Royals,Royal Challengers Bengaluru,1,Virat Kohli,out,33,24,34,3,1,137.50,ipl_1095
Royal Challengers Bengaluru Vs Rajasthan Royals,Royal Challengers Bengaluru,2,Faf du Plessis (c),out,17,14,22,2,1,121.42,ipl_1095
Royal Challengers Bengaluru Vs Rajasthan Royals,Royal Challengers Bengaluru,3,Cameron Green,out,27,21,33,2,1,128.57,ipl_1095
Royal Challengers Bengaluru Vs Rajasthan Royals,Royal Challengers Bengaluru,4,Rajat Patidar,out,34,22,32,2,2,154.54,ipl_1095
Royal Challengers Bengaluru Vs Rajasthan Royals,Royal Challengers Bengaluru,5,Glenn Maxwell,out,0,1,1,0,0,0.00,ipl_1095
Royal Challengers Bengaluru Vs Rajasthan Royals,Royal Challengers Bengaluru,6,Mahipal Lomror,out,32,17,46,2,2,188.23,ipl_1095
Royal Challengers Bengaluru Vs Rajasthan Royals,Royal Challengers Bengaluru,7,Dinesh Karthik †,out,11,13,23,1,0,84.61,ipl_1095
Royal Challengers Bengaluru Vs Rajasthan Royals,Royal Challengers Bengaluru,8,Swapnil Singh,not_out,9,4,9,0,1,225.00,ipl_1095
Royal Challengers Bengaluru Vs Rajasthan Royals,Royal Challengers Bengaluru,9,Karn Sharma,out,5,4,6,1,0,125.00,ipl_1095
Royal Challengers Bengaluru Vs Rajasthan Royals,Rajasthan Royals,1,Yashasvi Jaiswal,out,45,30,45,8,0,150.00,ipl_1095
Royal Challengers Bengaluru Vs Rajasthan Royals,Rajasthan Royals,2,Tom Kohler-Cadmore,out,20,15,26,4,0,133.33,ipl_1095
Royal Challengers Bengaluru Vs Rajasthan Royals,Rajasthan Royals,3,Sanju Samson (c)†,out,17,13,23,0,1,130.76,ipl_1095
Royal Challengers Bengaluru Vs Rajasthan Royals,Rajasthan Royals,4,Riyan Parag,out,36,26,48,2,2,138.46,ipl_1095
Royal Challengers Bengaluru Vs Rajasthan Royals,Rajasthan Royals,5,Dhruv Jurel,out,8,8,19,1,0,100.00,ipl_1095
Royal Challengers Bengaluru Vs Rajasthan Royals,Rajasthan Royals,6,Shimron Hetmyer,out,26,14,28,3,1,185.71,ipl_1095
Royal Challengers Bengaluru Vs Rajasthan Royals,Rajasthan Royals,7,Rovman Powell,not_out,16,8,8,2,1,200.00,ipl_1095
Royal Challengers Bengaluru Vs Rajasthan Royals,Rajasthan Royals,8,Ravichandran Ashwin,not_out,0,0,3,0,0,-,ipl_1095
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,1,Travis Head,out,0,2,1,0,0,0.00,ipl_1094
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,2,Abhishek Sharma,out,3,4,11,0,0,75.00,ipl_1094
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,3,Rahul Tripathi,out,55,35,63,7,1,157.14,ipl_1094
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,4,Nitish Kumar Reddy,out,9,10,16,1,0,90.00,ipl_1094
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,5,Shahbaz Ahmed,out,0,1,1,0,0,0.00,ipl_1094
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,6,Heinrich Klaasen †,out,32,21,26,3,1,152.38,ipl_1094
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,7,Abdul Samad,out,16,12,16,0,2,133.33,ipl_1094
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,8,Sanvir Singh,out,0,1,1,0,0,0.00,ipl_1094
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,9,Pat Cummins (c),out,30,24,29,2,2,125.00,ipl_1094
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,10,Bhuvneshwar Kumar,out,0,4,6,0,0,0.00,ipl_1094
Sunrisers Hyderabad Vs Kolkata Knight Riders,Sunrisers Hyderabad,11,Vijayakanth Viyaskanth,not_out,7,5,16,0,0,140.00,ipl_1094
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,1,Rahmanullah Gurbaz †,out,23,14,19,2,2,164.28,ipl_1094
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,2,Sunil Narine,out,21,16,36,4,0,131.25,ipl_1094
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,3,Venkatesh Iyer,not_out,51,28,48,5,4,182.14,ipl_1094
Sunrisers Hyderabad Vs Kolkata Knight Riders,Kolkata Knight Riders,4,Shreyas Iyer (c),not_out,58,24,31,5,4,241.66,ipl_1094
Punjab Kings Vs Sunrisers Hyderabad,Punjab Kings,1,Atharva Taide,out,46,27,39,5,2,170.37,ipl_1092
Punjab Kings Vs Sunrisers Hyderabad,Punjab Kings,2,Prabhsimran Singh,out,71,45,67,7,4,157.77,ipl_1092
Punjab Kings Vs Sunrisers Hyderabad,Punjab Kings,3,Rilee Rossouw,out,49,24,42,3,4,204.16,ipl_1092
Punjab Kings Vs Sunrisers Hyderabad,Punjab Kings,4,Shashank Singh,out,2,4,8,0,0,50.00,ipl_1092
Punjab Kings Vs Sunrisers Hyderabad,Punjab Kings,5,Jitesh Sharma (c)†,not_out,32,15,21,2,2,213.33,ipl_1092
Punjab Kings Vs Sunrisers Hyderabad,Punjab Kings,6,Ashutosh Sharma,out,2,3,5,0,0,66.66,ipl_1092
Punjab Kings Vs Sunrisers Hyderabad,Punjab Kings,7,Shivam Singh,not_out,2,3,9,0,0,66.66,ipl_1092
Punjab Kings Vs Sunrisers Hyderabad,Sunrisers Hyderabad,1,Travis Head,out,0,1,1,0,0,0.00,ipl_1092
Punjab Kings Vs Sunrisers Hyderabad,Sunrisers Hyderabad,2,Abhishek Sharma,out,66,28,55,5,6,235.71,ipl_1092
Punjab Kings Vs Sunrisers Hyderabad,Sunrisers Hyderabad,3,Rahul Tripathi,out,33,18,30,4,2,183.33,ipl_1092
Punjab Kings Vs Sunrisers Hyderabad,Sunrisers Hyderabad,4,Nitish Kumar Reddy,out,37,25,37,1,3,148.00,ipl_1092
Punjab Kings Vs Sunrisers Hyderabad,Sunrisers Hyderabad,5,Heinrich Klaasen †,out,42,26,39,3,2,161.53,ipl_1092
Punjab Kings Vs Sunrisers Hyderabad,Sunrisers Hyderabad,6,Shahbaz Ahmed,out,3,6,16,0,0,50.00,ipl_1092
Punjab Kings Vs Sunrisers Hyderabad,Sunrisers Hyderabad,7,Abdul Samad,not_out,11,8,11,0,1,137.50,ipl_1092
Punjab Kings Vs Sunrisers Hyderabad,Sunrisers Hyderabad,8,Sanvir Singh,not_out,6,4,3,1,0,150.00,ipl_1092
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,1,Virat Kohli,out,47,29,39,3,4,162.06,ipl_1091
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,2,Faf du Plessis (c),out,54,39,54,3,3,138.46,ipl_1091
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,3,Rajat Patidar,out,41,23,45,2,4,178.26,ipl_1091
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,4,Cameron Green,not_out,38,17,45,3,3,223.52,ipl_1091
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,5,Dinesh Karthik †,out,14,6,8,1,1,233.33,ipl_1091
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,6,Glenn Maxwell,out,16,5,5,2,1,320.00,ipl_1091
Royal Challengers Bengaluru Vs Chennai Super Kings,Royal Challengers Bengaluru,7,Mahipal Lomror,not_out,0,1,1,0,0,0.00,ipl_1091
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,1,Ruturaj Gaikwad (c),out,0,1,1,0,0,0.00,ipl_1091
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,2,Rachin Ravindra,out,61,37,63,5,3,164.86,ipl_1091
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,3,Daryl Mitchell,out,4,6,11,0,0,66.66,ipl_1091
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,4,Ajinkya Rahane,out,33,22,32,3,1,150.00,ipl_1091
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,5,Shivam Dube,out,7,15,20,0,0,46.66,ipl_1091
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,6,Ravindra Jadeja,not_out,42,22,42,3,3,190.90,ipl_1091
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,7,Mitchell Santner,out,3,4,7,0,0,75.00,ipl_1091
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,8,MS Dhoni †,out,25,13,25,3,1,192.30,ipl_1091
Royal Challengers Bengaluru Vs Chennai Super Kings,Chennai Super Kings,9,Shardul Thakur,not_out,1,2,3,0,0,50.00,ipl_1091
Lucknow Super Giants Vs Mumbai Indians,Lucknow Super Giants,1,KL Rahul (c)†,out,55,41,99,3,3,134.14,ipl_1090
Lucknow Super Giants Vs Mumbai Indians,Lucknow Super Giants,2,Devdutt Padikkal,out,0,1,4,0,0,0.00,ipl_1090
Lucknow Super Giants Vs Mumbai Indians,Lucknow Super Giants,3,Marcus Stoinis,out,28,22,32,5,0,127.27,ipl_1090
Lucknow Super Giants Vs Mumbai Indians,Lucknow Super Giants,4,Deepak Hooda,out,11,9,12,1,0,122.22,ipl_1090
Lucknow Super Giants Vs Mumbai Indians,Lucknow Super Giants,5,Nicholas Pooran,out,75,29,44,5,8,258.62,ipl_1090
Lucknow Super Giants Vs Mumbai Indians,Lucknow Super Giants,6,Arshad Khan,out,0,1,1,0,0,0.00,ipl_1090
Lucknow Super Giants Vs Mumbai Indians,Lucknow Super Giants,7,Ayush Badoni,not_out,22,10,15,1,2,220.00,ipl_1090
Lucknow Super Giants Vs Mumbai Indians,Lucknow Super Giants,8,Krunal Pandya,not_out,12,7,13,1,1,171.42,ipl_1090
Lucknow Super Giants Vs Mumbai Indians,Mumbai Indians,1,Rohit Sharma,out,68,38,52,10,3,178.94,ipl_1090
Lucknow Super Giants Vs Mumbai Indians,Mumbai Indians,2,Dewald Brevis,out,23,20,41,1,2,115.00,ipl_1090
Lucknow Super Giants Vs Mumbai Indians,Mumbai Indians,3,Suryakumar Yadav,out,0,3,3,0,0,0.00,ipl_1090
Lucknow Super Giants Vs Mumbai Indians,Mumbai Indians,4,Ishan Kishan †,out,14,15,50,1,0,93.33,ipl_1090
Lucknow Super Giants Vs Mumbai Indians,Mumbai Indians,5,Hardik Pandya (c),out,16,13,10,1,1,123.07,ipl_1090
Lucknow Super Giants Vs Mumbai Indians,Mumbai Indians,6,Nehal Wadhera,out,1,3,3,0,0,33.33,ipl_1090
Lucknow Super Giants Vs Mumbai Indians,Mumbai Indians,7,Naman Dhir,not_out,62,28,31,4,5,221.42,ipl_1090
Lucknow Super Giants Vs Mumbai Indians,Mumbai Indians,8,Romario Shepherd,not_out,1,1,2,0,0,100.00,ipl_1090
Rajasthan Royals Vs Punjab Kings,Rajasthan Royals,1,Yashasvi Jaiswal,out,4,4,3,1,0,100.00,ipl_1089
Rajasthan Royals Vs Punjab Kings,Rajasthan Royals,2,Tom Kohler-Cadmore,out,18,23,39,2,1,78.26,ipl_1089
Rajasthan Royals Vs Punjab Kings,Rajasthan Royals,3,Sanju Samson (c)†,out,18,15,30,3,0,120.00,ipl_1089
Rajasthan Royals Vs Punjab Kings,Rajasthan Royals,4,Riyan Parag,out,48,34,67,6,0,141.17,ipl_1089
Rajasthan Royals Vs Punjab Kings,Rajasthan Royals,5,Ravichandran Ashwin,out,28,19,25,3,1,147.36,ipl_1089
Rajasthan Royals Vs Punjab Kings,Rajasthan Royals,6,Dhruv Jurel,out,0,1,3,0,0,0.00,ipl_1089
Rajasthan Royals Vs Punjab Kings,Rajasthan Royals,7,Rovman Powell,out,4,5,3,1,0,80.00,ipl_1089
Rajasthan Royals Vs Punjab Kings,Rajasthan Royals,8,Donovan Ferreira,out,7,8,14,0,0,87.50,ipl_1089
Rajasthan Royals Vs Punjab Kings,Rajasthan Royals,9,Trent Boult,out,12,9,20,2,0,133.33,ipl_1089
Rajasthan Royals Vs Punjab Kings,Rajasthan Royals,10,Avesh Khan,not_out,3,2,8,0,0,150.00,ipl_1089
Rajasthan Royals Vs Punjab Kings,Punjab Kings,1,Prabhsimran Singh,out,6,4,3,1,0,150.00,ipl_1089
Rajasthan Royals Vs Punjab Kings,Punjab Kings,2,Jonny Bairstow †,out,14,22,41,1,0,63.63,ipl_1089
Rajasthan Royals Vs Punjab Kings,Punjab Kings,3,Rilee Rossouw,out,22,13,18,5,0,169.23,ipl_1089
Rajasthan Royals Vs Punjab Kings,Punjab Kings,4,Shashank Singh,out,0,2,2,0,0,0.00,ipl_1089
Rajasthan Royals Vs Punjab Kings,Punjab Kings,5,Sam Curran (c),not_out,63,41,62,5,3,153.65,ipl_1089
Rajasthan Royals Vs Punjab Kings,Punjab Kings,6,Jitesh Sharma,out,22,20,31,0,2,110.00,ipl_1089
Rajasthan Royals Vs Punjab Kings,Punjab Kings,7,Ashutosh Sharma,not_out,17,11,16,1,1,154.54,ipl_1089
Delhi Capitals Vs Lucknow Super Giants,Delhi Capitals,1,Jake Fraser-McGurk,out,0,2,3,0,0,0.00,ipl_1088
Delhi Capitals Vs Lucknow Super Giants,Delhi Capitals,2,Abishek Porel,out,58,33,58,5,4,175.75,ipl_1088
Delhi Capitals Vs Lucknow Super Giants,Delhi Capitals,3,Shai Hope,out,38,27,43,3,2,140.74,ipl_1088
Delhi Capitals Vs Lucknow Super Giants,Delhi Capitals,4,Rishabh Pant (c)†,out,33,23,39,5,0,143.47,ipl_1088
Delhi Capitals Vs Lucknow Super Giants,Delhi Capitals,5,Tristan Stubbs,not_out,57,25,47,3,4,228.00,ipl_1088
Delhi Capitals Vs Lucknow Super Giants,Delhi Capitals,6,Axar Patel,not_out,14,10,21,2,0,140.00,ipl_1088
Delhi Capitals Vs Lucknow Super Giants,Lucknow Super Giants,1,Quinton de Kock †,out,12,8,16,2,0,150.00,ipl_1088
Delhi Capitals Vs Lucknow Super Giants,Lucknow Super Giants,2,KL Rahul (c),out,5,3,4,1,0,166.66,ipl_1088
Delhi Capitals Vs Lucknow Super Giants,Lucknow Super Giants,3,Marcus Stoinis,out,5,7,13,1,0,71.42,ipl_1088
Delhi Capitals Vs Lucknow Super Giants,Lucknow Super Giants,4,Deepak Hooda,out,0,2,8,0,0,0.00,ipl_1088
Delhi Capitals Vs Lucknow Super Giants,Lucknow Super Giants,5,Nicholas Pooran,out,61,27,36,6,4,225.92,ipl_1088
Delhi Capitals Vs Lucknow Super Giants,Lucknow Super Giants,6,Ayush Badoni,out,6,9,15,0,0,66.66,ipl_1088
Delhi Capitals Vs Lucknow Super Giants,Lucknow Super Giants,7,Krunal Pandya,out,18,18,29,2,0,100.00,ipl_1088
Delhi Capitals Vs Lucknow Super Giants,Lucknow Super Giants,8,Arshad Khan,not_out,58,33,43,3,5,175.75,ipl_1088
Delhi Capitals Vs Lucknow Super Giants,Lucknow Super Giants,9,Yudhvir Singh,out,14,7,11,1,1,200.00,ipl_1088
Delhi Capitals Vs Lucknow Super Giants,Lucknow Super Giants,10,Ravi Bishnoi,out,2,2,9,0,0,100.00,ipl_1088
Delhi Capitals Vs Lucknow Super Giants,Lucknow Super Giants,11,Naveen-ul-Haq,not_out,2,4,7,0,0,50.00,ipl_1088
Royal Challengers Bengaluru Vs Delhi Capitals,Royal Challengers Bengaluru,1,Virat Kohli,out,27,13,20,1,3,207.69,ipl_1087
Royal Challengers Bengaluru Vs Delhi Capitals,Royal Challengers Bengaluru,2,Faf du Plessis (c),out,6,7,12,1,0,85.71,ipl_1087
Royal Challengers Bengaluru Vs Delhi Capitals,Royal Challengers Bengaluru,3,Will Jacks,out,41,29,50,3,2,141.37,ipl_1087
Royal Challengers Bengaluru Vs Delhi Capitals,Royal Challengers Bengaluru,4,Rajat Patidar,out,52,32,35,3,3,162.50,ipl_1087
Royal Challengers Bengaluru Vs Delhi Capitals,Royal Challengers Bengaluru,5,Cameron Green,not_out,32,24,39,1,2,133.33,ipl_1087
Royal Challengers Bengaluru Vs Delhi Capitals,Royal Challengers Bengaluru,6,Mahipal Lomror,out,13,8,14,0,1,162.50,ipl_1087
Royal Challengers Bengaluru Vs Delhi Capitals,Royal Challengers Bengaluru,7,Dinesh Karthik †,out,0,2,1,0,0,0.00,ipl_1087
Royal Challengers Bengaluru Vs Delhi Capitals,Royal Challengers Bengaluru,8,Swapnil Singh,out,0,1,3,0,0,0.00,ipl_1087
Royal Challengers Bengaluru Vs Delhi Capitals,Royal Challengers Bengaluru,9,Karn Sharma,out,6,4,7,1,0,150.00,ipl_1087
Royal Challengers Bengaluru Vs Delhi Capitals,Royal Challengers Bengaluru,10,Mohammed Siraj,out,0,0,3,0,0,-,ipl_1087
Royal Challengers Bengaluru Vs Delhi Capitals,Delhi Capitals,1,David Warner,out,1,2,3,0,0,50.00,ipl_1087
Royal Challengers Bengaluru Vs Delhi Capitals,Delhi Capitals,2,Jake Fraser-McGurk,out,21,8,14,2,2,262.50,ipl_1087
Royal Challengers Bengaluru Vs Delhi Capitals,Delhi Capitals,3,Abishek Porel †,out,2,3,8,0,0,66.66,ipl_1087
Royal Challengers Bengaluru Vs Delhi Capitals,Delhi Capitals,4,Shai Hope,out,29,23,35,4,0,126.08,ipl_1087
Royal Challengers Bengaluru Vs Delhi Capitals,Delhi Capitals,5,Kumar Kushagra,out,2,3,5,0,0,66.66,ipl_1087
Royal Challengers Bengaluru Vs Delhi Capitals,Delhi Capitals,6,Axar Patel (c),out,57,39,55,5,3,146.15,ipl_1087
Royal Challengers Bengaluru Vs Delhi Capitals,Delhi Capitals,7,Tristan Stubbs,out,3,4,6,0,0,75.00,ipl_1087
Royal Challengers Bengaluru Vs Delhi Capitals,Delhi Capitals,8,Rasikh Salam,out,10,12,16,1,0,83.33,ipl_1087
Royal Challengers Bengaluru Vs Delhi Capitals,Delhi Capitals,9,Kuldeep Yadav,out,6,10,21,0,0,60.00,ipl_1087
Royal Challengers Bengaluru Vs Delhi Capitals,Delhi Capitals,10,Mukesh Kumar,out,3,7,10,0,0,42.85,ipl_1087
Royal Challengers Bengaluru Vs Delhi Capitals,Delhi Capitals,11,Ishant Sharma,not_out,0,4,7,0,0,0.00,ipl_1087
Rajasthan Royals Vs Chennai Super Kings,Rajasthan Royals,1,Yashasvi Jaiswal,out,24,21,29,3,1,114.28,ipl_1086
Rajasthan Royals Vs Chennai Super Kings,Rajasthan Royals,2,Jos Buttler,out,21,25,38,2,0,84.00,ipl_1086
Rajasthan Royals Vs Chennai Super Kings,Rajasthan Royals,3,Sanju Samson (c)†,out,15,19,34,0,0,78.94,ipl_1086
Rajasthan Royals Vs Chennai Super Kings,Rajasthan Royals,4,Riyan Parag,not_out,47,35,55,1,3,134.28,ipl_1086
Rajasthan Royals Vs Chennai Super Kings,Rajasthan Royals,5,Dhruv Jurel,out,28,18,24,1,2,155.55,ipl_1086
Rajasthan Royals Vs Chennai Super Kings,Rajasthan Royals,6,Shubham Dubey,out,0,1,1,0,0,0.00,ipl_1086
Rajasthan Royals Vs Chennai Super Kings,Rajasthan Royals,7,Ravichandran Ashwin,not_out,1,1,3,0,0,100.00,ipl_1086
Rajasthan Royals Vs Chennai Super Kings,Chennai Super Kings,1,Rachin Ravindra,out,27,18,17,1,2,150.00,ipl_1086
Rajasthan Royals Vs Chennai Super Kings,Chennai Super Kings,2,Ruturaj Gaikwad (c),not_out,42,41,90,1,2,102.43,ipl_1086
Rajasthan Royals Vs Chennai Super Kings,Chennai Super Kings,3,Daryl Mitchell,out,22,13,18,4,0,169.23,ipl_1086
Rajasthan Royals Vs Chennai Super Kings,Chennai Super Kings,4,Moeen Ali,out,10,13,17,0,0,76.92,ipl_1086
Rajasthan Royals Vs Chennai Super Kings,Chennai Super Kings,5,Shivam Dube,out,18,11,9,2,1,163.63,ipl_1086
Rajasthan Royals Vs Chennai Super Kings,Chennai Super Kings,6,Ravindra Jadeja,out,5,6,9,0,0,83.33,ipl_1086
Rajasthan Royals Vs Chennai Super Kings,Chennai Super Kings,7,Sameer Rizvi,not_out,15,8,11,3,0,187.50,ipl_1086
Kolkata Knight Riders Vs Mumbai Indians,Kolkata Knight Riders,1,Phil Salt †,out,6,5,4,0,1,120.00,ipl_1085
Kolkata Knight Riders Vs Mumbai Indians,Kolkata Knight Riders,2,Sunil Narine,out,0,1,7,0,0,0.00,ipl_1085
Kolkata Knight Riders Vs Mumbai Indians,Kolkata Knight Riders,3,Venkatesh Iyer,out,42,21,41,6,2,200.00,ipl_1085
Kolkata Knight Riders Vs Mumbai Indians,Kolkata Knight Riders,4,Shreyas Iyer (c),out,7,10,18,1,0,70.00,ipl_1085
Kolkata Knight Riders Vs Mumbai Indians,Kolkata Knight Riders,5,Nitish Rana,out,33,23,41,4,1,143.47,ipl_1085
Kolkata Knight Riders Vs Mumbai Indians,Kolkata Knight Riders,6,Andre Russell,out,24,14,26,2,2,171.42,ipl_1085
Kolkata Knight Riders Vs Mumbai Indians,Kolkata Knight Riders,7,Rinku Singh,out,20,12,18,0,2,166.66,ipl_1085
Kolkata Knight Riders Vs Mumbai Indians,Kolkata Knight Riders,8,Ramandeep Singh,not_out,17,8,17,1,1,212.50,ipl_1085
Kolkata Knight Riders Vs Mumbai Indians,Kolkata Knight Riders,9,Mitchell Starc,not_out,2,2,2,0,0,100.00,ipl_1085
Kolkata Knight Riders Vs Mumbai Indians,Mumbai Indians,1,Ishan Kishan †,out,40,22,35,5,2,181.81,ipl_1085
Kolkata Knight Riders Vs Mumbai Indians,Mumbai Indians,2,Rohit Sharma,out,19,24,39,1,1,79.16,ipl_1085
Kolkata Knight Riders Vs Mumbai Indians,Mumbai Indians,3,Suryakumar Yadav,out,11,14,17,1,0,78.57,ipl_1085
Kolkata Knight Riders Vs Mumbai Indians,Mumbai Indians,4,Tilak Varma,out,32,17,38,5,1,188.23,ipl_1085
Kolkata Knight Riders Vs Mumbai Indians,Mumbai Indians,5,Hardik Pandya (c),out,2,4,3,0,0,50.00,ipl_1085
Kolkata Knight Riders Vs Mumbai Indians,Mumbai Indians,6,Tim David,out,0,3,3,0,0,0.00,ipl_1085
Kolkata Knight Riders Vs Mumbai Indians,Mumbai Indians,7,Nehal Wadhera,out,3,3,10,0,0,100.00,ipl_1085
